이슈키,이슈유형,부모이슈,상태,고객사,제목,이슈본문,댓글작성자,댓글내용,생성일,완료일,담당자
AS-11,스토리,AS-2,해야 할 일,미분류,운영팀,,N/A,댓글 없음,2026-03-16T19:29:06.807+0900,,윤종웅
AS-12,스토리,AS-2,진행 중,미분류,타스온서비스팀,,N/A,댓글 없음,2026-03-16T19:29:11.445+0900,,윤종웅
AS-13,스토리,AS-2,진행 중,미분류,타스온개발팀,,N/A,댓글 없음,2026-03-16T19:29:15.173+0900,,윤종웅
AS-14,스토리,AS-2,해야 할 일,미분류,AX팀,,N/A,댓글 없음,2026-03-16T19:29:29.163+0900,,윤종웅
AS-21,하위 작업,AS-7,해야 할 일,미분류,SDK 고객사 문의사항 분석,카테고리: VOC 업무 설명: SDK 관련 문의 VOC 접수 시에 해당 내용 분석 실행빈도: 주 2회 소요시간: 1~2h 사용 프로그램: 문서 데이터 소스: 문의 메일 결과물 형태: 분석 내용 도출 자동화 여부: X 작성자: 이우석프로세스: SDK 관련 VOC 수신 확인 → 문의 내용 파악(오류 메시지·발생 환경·재현 방법) → 기존 유사 문의 이력 검색 → 분석 필요 항목 정리 → SDK 소스코드 분석 단계로 연결,N/A,댓글 없음,2026-03-16T20:09:27.750+0900,,이우석
AS-22,하위 작업,AS-7,해야 할 일,미분류,SDK 소스코드 분석 및 문제점 파악,카테고리: VOC 업무 설명: 분석된 내용 기반 문제점 확인 실행빈도: 월 1회 소요시간: 2h 사용 프로그램: 문서 데이터 소스: 문의 메일 결과물 형태: 분석 내용 도출 자동화 여부: X 작성자: 이우석프로세스: 문의 내용 기반 관련 SDK 소스파일 탐색 → 해당 기능 코드 확인 → 오류 재현 시도 → 문제가 되는 코드 위치 및 동작 파악 → 문제점 목록 정리 → 수정 단계로 연결,N/A,댓글 없음,2026-03-16T20:09:29.441+0900,,이우석
AS-23,하위 작업,AS-7,해야 할 일,미분류,Android SDK 버그 및 소스코드 수정,카테고리: VOC 업무 설명: 문제되는 Android SDK 코드 수정 실행빈도: 월 1회 소요시간: 4h 사용 프로그램: android studio 데이터 소스: Android SDK 소스코드 결과물 형태: aar 파일 자동화 여부: X 작성자: 이우석프로세스: Android SDK 문제점 확인 → 수정 브랜치 생성 → 코드 수정 → Android 에뮬레이터·실기기에서 동작 확인 → 코드 리뷰 → 수정본 확정 → 배포 준비,N/A,댓글 없음,2026-03-16T20:09:31.069+0900,,이우석
AS-24,하위 작업,AS-7,해야 할 일,미분류,iOS SDK 버그 및 소스코드 수정,카테고리: VOC 업무 설명: 문제되는 iOS SDK 코드 수정 실행빈도: 월 1회 소요시간: 4h 사용 프로그램: xcode 데이터 소스: iOS SDK 소스코드 결과물 형태: framework 파일 자동화 여부: X 작성자: 이우석프로세스: iOS SDK 문제점 확인 → 수정 브랜치 생성 → 코드 수정 → iOS 시뮬레이터·실기기에서 동작 확인 → 코드 리뷰 → 수정본 확정 → 배포 준비,N/A,댓글 없음,2026-03-16T20:09:33.016+0900,,이우석
AS-25,하위 작업,AS-7,해야 할 일,미분류,작업계획서 작성,카테고리: VOC 업무 설명: 고객사 요청사항 처리 전 작업계획서 작성 실행빈도: 건당 소요시간: 1h 사용 프로그램: 문서 데이터 소스: 고객사 요청사항 결과물 형태: 작업계획서 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:34.693+0900,,이우석
AS-26,하위 작업,AS-7,해야 할 일,미분류,단순 문의 회신,카테고리: VOC 업무 설명: 단순 문의에 대한 회신 처리 실행빈도: 주 2회 소요시간: 0.5h 사용 프로그램: 메일 데이터 소스: 문의 메일 결과물 형태: 회신 메일 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:36.669+0900,,이우석
AS-27,하위 작업,AS-7,해야 할 일,미분류,기술 지원 담당자 배정,카테고리: VOC 업무 설명: 기술 지원 요청 시 담당자 배정 실행빈도: 건당 소요시간: 0.5h 사용 프로그램: 문서 데이터 소스: 문의 접수 내용 결과물 형태: 담당자 배정 완료 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:38.300+0900,,이우석
AS-28,하위 작업,AS-7,해야 할 일,미분류,CS 스케줄 관리,카테고리: VOC 업무 설명: CS 일정 및 스케줄 관리 실행빈도: 주 1회 소요시간: 1h 사용 프로그램: 캘린더 데이터 소스: CS 요청 내역 결과물 형태: 스케줄 관리표 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:39.851+0900,,이우석
AS-29,하위 작업,AS-7,해야 할 일,미분류,고객사 원격 셋팅,카테고리: VOC 업무 설명: 고객사 원격 환경 셋팅 지원 실행빈도: 건당 소요시간: 2h 사용 프로그램: 원격 접속 툴 데이터 소스: 고객사 환경 정보 결과물 형태: 셋팅 완료 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:41.213+0900,,이우석
AS-30,하위 작업,AS-7,해야 할 일,미분류,고객 활성화 커뮤니케이션,카테고리: VOC 업무 설명: 고객 활성화를 위한 커뮤니케이션 진행 실행빈도: 월 1회 소요시간: 1h 사용 프로그램: 메일/전화 데이터 소스: 고객사 사용 현황 결과물 형태: 커뮤니케이션 이력 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:42.771+0900,,이우석
AS-31,하위 작업,AS-7,해야 할 일,미분류,제품 정기 교육 진행,카테고리: VOC 업무 설명: 제품 관련 정기 교육 진행 실행빈도: 분기 1회 소요시간: 2h 사용 프로그램: 화상회의/문서 데이터 소스: 교육 교안 결과물 형태: 교육 완료 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:44.199+0900,,이우석
AS-32,하위 작업,AS-7,해야 할 일,미분류,월간 CS 이력 정리,카테고리: VOC 업무 설명: 월간 CS 처리 이력 정리 실행빈도: 월 1회 소요시간: 1h 사용 프로그램: 엑셀/문서 데이터 소스: CS 이력 결과물 형태: CS 이력 정리 문서 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:45.874+0900,,이우석
AS-33,하위 작업,AS-7,해야 할 일,미분류,월간 CS 리포트 발송,카테고리: VOC 업무 설명: 월간 CS 리포트 발송 실행빈도: 월 1회 소요시간: 1h 사용 프로그램: 메일/문서 데이터 소스: CS 이력 결과물 형태: 월간 CS 리포트 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:47.274+0900,,이우석
AS-34,하위 작업,AS-7,해야 할 일,미분류,장애 원인 분석 및 보고서 작성,카테고리: VOC 업무 설명: 장애 원인 분석 및 보고서 작성 실행빈도: 건당 소요시간: 4h 사용 프로그램: 문서 데이터 소스: 로그/장애 이력 결과물 형태: 장애 분석 보고서 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:48.678+0900,,이우석
AS-35,하위 작업,AS-7,해야 할 일,미분류,서비스 상태 점검 보고,카테고리: VOC 업무 설명: 서비스 상태 점검 및 보고 실행빈도: 주 1회 소요시간: 1h 사용 프로그램: 모니터링 툴 데이터 소스: 서비스 로그 결과물 형태: 점검 보고서 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:50.298+0900,,이우석
AS-36,하위 작업,AS-7,해야 할 일,미분류,CS 및 문의 이력 조회,카테고리: VOC 업무 설명: CS 및 문의 이력 조회 실행빈도: 수시 소요시간: 0.5h 사용 프로그램: CRM/문서 데이터 소스: CS 이력 DB 결과물 형태: 이력 조회 결과 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:52.267+0900,,이우석
AS-37,하위 작업,AS-7,해야 할 일,미분류,고객사 CS 접수 및 등록,카테고리: VOC 업무 설명: 고객사 CS 접수 및 등록 실행빈도: 건당 소요시간: 0.5h 사용 프로그램: CRM 데이터 소스: 고객사 문의 결과물 형태: CS 등록 완료 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:53.697+0900,,이우석
AS-38,하위 작업,AS-7,해야 할 일,미분류,문의 유형 분류 및 필터링,카테고리: VOC 업무 설명: 문의 유형 분류 및 필터링 실행빈도: 수시 소요시간: 0.5h 사용 프로그램: CRM/엑셀 데이터 소스: CS 이력 결과물 형태: 분류 결과 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:55.012+0900,,이우석
AS-39,하위 작업,AS-7,해야 할 일,미분류,고객 환경 정보 확인,카테고리: VOC 업무 설명: 고객 환경 정보 확인 실행빈도: 건당 소요시간: 0.5h 사용 프로그램: 원격 접속/문서 데이터 소스: 고객사 환경 정보 결과물 형태: 환경 정보 확인 결과 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:56.356+0900,,이우석
AS-40,하위 작업,AS-7,해야 할 일,미분류,로그 요청 메일 작성,카테고리: VOC 업무 설명: 로그 요청 메일 작성 실행빈도: 건당 소요시간: 0.5h 사용 프로그램: 메일 데이터 소스: 장애 내역 결과물 형태: 로그 요청 메일 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:58.045+0900,,이우석
AS-41,하위 작업,AS-7,해야 할 일,미분류,로그 파일 수신 및 확인,카테고리: VOC 업무 설명: 로그 파일 수신 및 확인 실행빈도: 건당 소요시간: 1h 사용 프로그램: 텍스트 에디터/로그 뷰어 데이터 소스: 로그 파일 결과물 형태: 로그 분석 결과 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:09:59.678+0900,,이우석
AS-42,하위 작업,AS-7,해야 할 일,미분류,발송 이력 데이터 분석,카테고리: VOC 업무 설명: 발송 이력 데이터 분석 실행빈도: 건당 소요시간: 2h 사용 프로그램: 엑셀/DB 데이터 소스: 발송 이력 DB 결과물 형태: 분석 결과 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:10:01.445+0900,,이우석
AS-43,하위 작업,AS-7,해야 할 일,미분류,원인 후보 도출,카테고리: VOC 업무 설명: 원인 후보 도출 실행빈도: 건당 소요시간: 1h 사용 프로그램: 문서 데이터 소스: 로그/이력 분석 결과 결과물 형태: 원인 후보 목록 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:10:02.930+0900,,이우석
AS-44,하위 작업,AS-7,해야 할 일,미분류,해결방안,카테고리: VOC 업무 설명: 해결방안 도출 실행빈도: 건당 소요시간: 1h 사용 프로그램: 문서 데이터 소스: 원인 분석 결과 결과물 형태: 해결방안 문서 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:10:04.503+0900,,이우석
AS-45,하위 작업,AS-7,해야 할 일,미분류,유사 장애 사례 검색,카테고리: VOC 업무 설명: 유사 장애 사례 검색 실행빈도: 건당 소요시간: 1h 사용 프로그램: 문서/이슈 트래커 데이터 소스: 장애 이력 결과물 형태: 유사 사례 목록 자동화 여부: X 작성자: 이우석,N/A,댓글 없음,2026-03-16T20:10:06.091+0900,,이우석
AS-46,하위 작업,AS-7,해야 할 일,미분류,레거시 코드 흐름 분석,카테고리: VOC 업무 설명: 발송 로직 및 처리 흐름 분석 실행빈도: 수시 소요시간: 3시간 사용 프로그램: IntelliJ 데이터 소스: 소스 코드 결과물 형태: 코드 흐름 분석 결과 자동화 여부: X 작성자: 류한경프로세스: 관련 소스 코드 파일 확인 → 발송 요청 진입점부터 전송 완료까지 코드 흐름 추적 → 주요 분기·예외 처리 로직 파악 → 커스텀 로직 존재 여부 확인 → 흐름 정리 후 원인 후보와 연결,N/A,댓글 없음,2026-03-16T20:10:07.595+0900,,류한경
AS-47,하위 작업,AS-7,해야 할 일,미분류,점검 결과 보고서,"카테고리: VOC 업무 설명: 현장 데이터를 반영한 정식 점검 결과서 실행빈도: 고객사 방문 시 1회 소요시간: 1~2시간 내외 사용 프로그램: Excel 데이터 소스: 서버 로그, 점검 체크 결과물 형태: 정기점검 보고서 (PDF) 자동화 여부: X 작성자: 이경환프로세스: 현장 점검 데이터 취합 → 항목별 정상/이상 결과 정리 → 추이 데이터 포함 → 보고서 양식에 기입 → 내부 검토 → 고객사 담당자에게 공식 제출",N/A,댓글 없음,2026-03-16T20:10:10.631+0900,,이경환
AS-48,하위 작업,AS-7,해야 할 일,미분류,고객사 방문 전 점검,"카테고리: VOC 업무 설명: 방문 시 확인해야 할 체크리스트 생성 실행빈도: 고객사 방문 전 1회 소요시간: 30분 내외 사용 프로그램: Excel 데이터 소스: 점검 매뉴얼, 이슈 이력 결과물 형태: 방문 점검표 (Excel) 자동화 여부: X 작성자: 이경환프로세스: 방문 목적 및 점검 항목 사전 확인 → 체크리스트 양식에 점검 항목 구성 → 필요 도구·계정 정보 준비 → 방문 당일 체크리스트 기반 점검 수행 → 이상 항목 기록 → 방문 결과 보고",N/A,댓글 없음,2026-03-16T20:10:12.113+0900,,이경환
AS-49,하위 작업,AS-7,해야 할 일,미분류,외부 연동 코드 분석,"카테고리: 분석 업무 설명: SMTP, FCM, 카카오 API 연동 코드 분석 실행빈도: 수시 소요시간: 4시간 사용 프로그램: IntelliJ, 문서 데이터 소스: 연동 코드 결과물 형태: 연동 로직 분석 자동화 여부: X 작성자: 류한경프로세스: 외부 연동 설정(SMTP 서버 주소·FCM API Key·카카오 API 정보) 확인 → 연동 코드의 요청 구성·인증·응답 처리 로직 분석 → 연동 실패 시 예외 처리 방식 확인 → 이상 지점 식별 → 수정 방향 도출",N/A,댓글 없음,2026-03-16T20:10:13.577+0900,,류한경
AS-50,하위 작업,AS-7,해야 할 일,미분류,커스텀 사항 코드 분석,"카테고리: 분석 업무 설명: 커스터마이징된 기능 및 코드 동작 분석 실행빈도: 수시 소요시간: 4시간 사용 프로그램: IntelliJ, 문서 데이터 소스: 연동 코드 결과물 형태: 연동 로직 분석 자동화 여부: X 작성자: 류한경프로세스: 고객사별 커스터마이징 이력 확인 → 해당 고객사에 적용된 커스텀 코드 파일 탐색 → 표준 코드와의 차이점 파악 → 커스텀 로직이 현재 이슈와 연관성 있는지 검토 → 수정 필요 여부 판단",N/A,댓글 없음,2026-03-16T20:10:15.069+0900,,류한경
AS-51,하위 작업,AS-7,해야 할 일,미분류,수정 영향도 분석,"카테고리: 분석 업무 설명: 코드 수정 및 기능 변경 시 영향 받을 모듈, 타 기능, 타 고객, DB 정합성 등 영향 범위 전반 분석 실행빈도: 수시 소요시간: 3시간 사용 프로그램: IntelliJ, 문서 데이터 소스: 코드 분석 결과 결과물 형태: 영향도 분석 자동화 여부: X 작성자: 류한경, 신지원, 장재인프로세스: 수정 대상 코드·기능 범위 확정 → 동일 모듈을 사용하는 타 기능 목록 확인 → 타 고객사 적용 여부 검토 → DB 스키마 변경 영향 여부 확인 → 영향 범위 매트릭스 작성 → 검토 결과 팀 공유",N/A,댓글 없음,2026-03-16T20:10:16.613+0900,,"류한경, 신지원, 장재인"
AS-52,하위 작업,AS-7,해야 할 일,미분류,요구사항 인터뷰,"카테고리: 분석 업무 설명: 요구사항 제출자 인터뷰 및 추가 요구사항 확인 실행빈도: 프로젝트 발생시 소요시간: 1시간 사용 프로그램: 회의, 메일 데이터 소스: 요구사항 문서 결과물 형태: 인터뷰 결과 자동화 여부: X 작성자: 류한경프로세스: 요구사항 제출자·업무 담당자 인터뷰 일정 조율 → 사전 질문 목록 준비 → 인터뷰 진행(기능 의도·예외 케이스·우선순위 확인) → 인터뷰 내용 기록 → 추가 확인 사항 정리 → 후속 인터뷰 또는 이메일 확인",N/A,댓글 없음,2026-03-16T20:10:18.257+0900,,류한경
AS-53,하위 작업,AS-7,해야 할 일,미분류,요구사항 상세화,"카테고리: 분석 업무 설명: 모호한 요구사항을 구체화하고 기술적 문장으로 정제, 예외 케이스 및 상세 시나리오 정의 실행빈도: 프로젝트 발생시 소요시간: 8시간 사용 프로그램: 문서도구 데이터 소스: 인터뷰 내용 결과물 형태: 상세 요구사항 자동화 여부: X 작성자: 류한경, 신지원",N/A,댓글 없음,2026-03-16T20:10:19.723+0900,,"류한경, 신지원"
AS-54,하위 작업,AS-7,해야 할 일,미분류,시스템 영향도 분석,"카테고리: 분석 업무 설명: 기존 시스템 구조와 영향 범위 분석 실행빈도: 프로젝트 발생시 소요시간: 6시간 사용 프로그램: 문서, 소스코드 데이터 소스: 시스템 구조도 결과물 형태: 영향도 분석 자동화 여부: X 작성자: 류한경",N/A,댓글 없음,2026-03-16T20:10:21.217+0900,,류한경
AS-55,하위 작업,AS-7,해야 할 일,미분류,Android 신규 OS 정책 조사 ,카테고리: 분석 업무 설명: Android 신규 OS 정책 조사 실행빈도: 월 1회 소요시간: 4h 사용 프로그램: 검색엔진 데이터 소스: Android 개발자 가이드 결과물 형태: SDK 관련 영향도 정책 자동화 여부: X 작성자: 이우석프로세스: Android 신규 OS 릴리즈 노트 및 개발자 문서 확인 → 변경된 API·권한 정책·보안 정책 항목 파악 → SDK 영향 항목 목록 정리 → 대응 필요 우선순위 결정 → 팀 공유,N/A,댓글 없음,2026-03-16T20:10:22.629+0900,,이우석
AS-56,하위 작업,AS-7,해야 할 일,미분류,iOS 신규 OS 정책 조사,카테고리: 분석 업무 설명: iOS 신규 OS 정책 조사 실행빈도: 월 1회 소요시간: 4h 사용 프로그램: 검색엔진 데이터 소스: apple 개발자 가이드 결과물 형태: SDK 관련 영향도 정책 자동화 여부: X 작성자: 이우석프로세스: iOS 신규 OS 릴리즈 노트 및 개발자 문서 확인 → 변경된 API·권한 정책·개인정보 정책 항목 파악 → SDK 영향 항목 목록 정리 → 대응 필요 우선순위 결정 → 팀 공유,N/A,댓글 없음,2026-03-16T20:10:24.333+0900,,이우석
AS-57,하위 작업,AS-7,해야 할 일,미분류,경쟁사 분석,카테고리: 분석 업무 설명: 푸시 경쟁사 정책 및 가이드 확인 실행빈도: 분기별 1회 소요시간: 2h 사용 프로그램: 검색엔진 데이터 소스: 경쟁사 홈페이지 결과물 형태: 제품 특징 정리 자동화 여부: X 작성자: 이우석프로세스: 주요 경쟁사 푸시 SDK 공식 문서·릴리즈 노트 확인 → 신규 기능·정책 변경 항목 파악 → 자사 SDK와 비교 분석 → 개선 필요 항목 도출 → 분석 결과 팀 공유,N/A,댓글 없음,2026-03-16T20:10:25.839+0900,,이우석
AS-58,하위 작업,AS-7,해야 할 일,미분류,고객사 history 분석,"카테고리: 분석 업무 설명: 각 고객사 별 SDK 커스텀 사항 확인 실행빈도: 월 1회 소요시간: 4h 사용 프로그램: 문서 데이터 소스: confluence, jira, 인수인계 문서 결과물 형태: 고객사별 history 정리 자동화 여부: 진행 중 작성자: 이우석프로세스: 고객사별 SDK 계약·커스텀 이력 문서 확인 → 적용된 커스텀 항목 목록 정리 → 각 항목별 커스텀 내용 파악 → 현재 이슈 또는 신규 개발과의 연관성 검토 → 정리 결과 팀 공유",N/A,댓글 없음,2026-03-16T20:10:27.552+0900,,이우석
AS-59,하위 작업,AS-7,해야 할 일,미분류,고객사 개발 요청사항 분석,"카테고리: 분석 업무 설명: 고객사 별 SDK 커스텀 개발 요청사항 분석 실행빈도: 분기별 1회 소요시간: 4h 사용 프로그램: android studio, xcode, 문서 데이터 소스: 고객사 요청사항 결과물 형태: 개발 검토결과 자동화 여부: X 작성자: 이우석프로세스: 고객사 개발 요청사항 접수 확인 → 요청 내용 파악 → 기술적 실현 가능성 검토 → 커스텀 범위 및 공수 산정 → 고객사에 검토 결과 공유 → 승인 후 개발 착수",N/A,댓글 없음,2026-03-16T20:10:29.355+0900,,이우석
AS-60,하위 작업,AS-7,해야 할 일,미분류,이메일 인증 정책 검토,"카테고리: 분석 업무 설명: SPF, DKIM, DMARC 적용 여부 검토 실행빈도: 월 4~6회 소요시간: 30분 사용 프로그램: DNS조회툴, 문서도구 데이터 소스: DNS 설정 정보 결과물 형태: 검토 결과 자동화 여부: X 작성자: 신지원프로세스: 고객사 이메일 도메인 확인 → DNS 조회 도구(nslookup/dig)로 SPF·DKIM·DMARC 레코드 조회 → 각 레코드 설정값 확인 → 미설정 또는 오설정 항목 식별 → 검토 결과 정리 → 고객사에 수정 가이드 전달",N/A,댓글 없음,2026-03-16T20:10:31.006+0900,,신지원
AS-61,하위 작업,AS-7,해야 할 일,미분류,수정 코드 설계,"카테고리: 설계 업무 설명: 문제 해결을 위한 수정 방향 및 설계 정리 실행빈도: 수시 소요시간: 4시간 사용 프로그램: IntelliJ, 문서 데이터 소스: 분석 결과 결과물 형태: 수정 설계 자동화 여부: X 작성자: 류한경프로세스: 원인 확정 내용 바탕으로 수정 방향 결정 → 설정 변경·코드 수정·DB 수정 등 방법 선택 → 수정 시나리오 및 예상 결과 기술 → 롤백 방안 포함 설계 문서 작성 → 팀 리뷰 후 개발 단계로 전달",N/A,댓글 없음,2026-03-16T20:10:32.886+0900,,류한경
AS-62,하위 작업,AS-7,해야 할 일,미분류,아키텍처/네트워크 설계,카테고리: 설계 업무 설명: 고객 인프라 기반 Public/Private 망 및 보안 구역 설계 실행빈도: 도입/고도화 시 소요시간: 8~16시간 사용 프로그램: draw.io 데이터 소스: 고객사 서버/망 정보 결과물 형태: 시스템 구성도 자동화 여부: X 작성자: 장재인,N/A,댓글 없음,2026-03-16T20:10:34.557+0900,,장재인
AS-63,하위 작업,AS-7,해야 할 일,미분류,DB 설계,카테고리: 설계 업무 설명: 기능 구현을 위한 DB 테이블 설계 실행빈도: 프로젝트 발생시 소요시간: 4시간 사용 프로그램: DB Tool 데이터 소스: 요구사항 결과물 형태: DB 설계서 자동화 여부: X 작성자: 류한경프로세스: 요구사항 및 기능 설계 내용 확인 → 필요 테이블 목록 도출 → 각 테이블 컬럼·데이터 타입·인덱스·제약조건 정의 → 테이블 간 관계 설계 → 논리/물리 모델 문서 작성 → 팀 검토 후 확정,N/A,댓글 없음,2026-03-16T20:10:36.231+0900,,류한경
AS-64,하위 작업,AS-7,해야 할 일,미분류,DB 마이그레이션 설계,"카테고리: 설계 업무 설명: 운영 데이터 보존을 위한 DDL/DML 및 이관 시나리오 수립 실행빈도: DB 변경 시 소요시간: 8시간 사용 프로그램: DB Client, SQL 데이터 소스: 운영 DB 스키마 결과물 형태: SQL 스크립트 자동화 여부: X 작성자: 장재인",N/A,댓글 없음,2026-03-16T20:10:37.895+0900,,장재인
AS-65,하위 작업,AS-7,해야 할 일,미분류,기능 설계,카테고리: 설계 업무 설명: 요구사항 기반 기능 구조 설계 실행빈도: 월 1~2회 소요시간: 2~3시간 사용 프로그램: 설계도구 데이터 소스: 요구사항 문서 결과물 형태: 기능 설계 문서 자동화 여부: X 작성자: 신지원,N/A,댓글 없음,2026-03-16T20:10:39.183+0900,,신지원
AS-66,하위 작업,AS-7,해야 할 일,미분류,API 및 인터페이스 설계,"카테고리: 설계 업무 설명: 시스템 연동 API 및 외부 인터페이스 규격 설계, 엔드포인트 정의, 장애 시 재시도·폴백 로직 설계 실행빈도: 프로젝트 발생시 소요시간: 4시간 사용 프로그램: 문서도구 데이터 소스: 요구사항 문서 결과물 형태: API 설계서 자동화 여부: X 작성자: 류한경, 신지원, 장재인",N/A,댓글 없음,2026-03-16T20:10:40.678+0900,,"류한경, 신지원, 장재인"
AS-67,하위 작업,AS-7,해야 할 일,미분류,메시지 처리 흐름 설계,카테고리: 설계 업무 설명: 메시지 발송 처리 흐름 설계 실행빈도: 프로젝트 발생시 소요시간: 6시간 사용 프로그램: 문서도구 데이터 소스: 요구사항 문서 결과물 형태: 처리 흐름도 자동화 여부: X 작성자: 류한경프로세스: 발송 요청 진입점부터 최종 전송까지 단계 정의 → 채널별 분기 로직 설계 → 큐 투입·소비 흐름 설계 → 재시도·실패 처리 흐름 포함 → 흐름도 작성 → 팀 검토 후 확정,N/A,댓글 없음,2026-03-16T20:10:42.087+0900,,류한경
AS-68,하위 작업,AS-7,해야 할 일,미분류,기능 개발,"카테고리: 구현 업무 설명: 요구사항 및 설계 기반 신규 기능 개발 (API, 배치, 화면 등) 실행빈도: 프로젝트 발생시 소요시간: 16시간 사용 프로그램: IntelliJ, Git 데이터 소스: 소스 코드 결과물 형태: 개발 코드 자동화 여부: X 작성자: 류한경, 윤주명",N/A,댓글 없음,2026-03-16T20:10:43.753+0900,,"류한경, 윤주명"
